subject_id,grb_id,image_path,image_source,label,label_id,verified_label,verified_label_id,model_guess,model_confidence,is_agreement,timestamp
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:44
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:44
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:44
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:44
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,unclear,2,unclear,2,unclear,0.4111,True,2026-09-18 21:42:45
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,noise,1,noise,1,unclear,0.4111,False,2026-09-18 21:42:45
mock_100014,GRB120014C,data\mock_burst_chaser\images\mock_100014.png,data\mock_burst_chaser\images\mock_100014.png,pulse,0,pulse,0,unclear,0.4111,False,2026-09-18 21:42:45
95372762,GRB041217,data\zooniverse\images\95372762.png,data\zooniverse\images\95372762.png,pulse,0,pulse,0,unclear,0.4305,False,2026-09-18 21:57:08
95372765,GRB041219C,data\zooniverse\images\95372765.png,data\zooniverse\images\95372765.png,pulse,0,pulse,0,unclear,0.5164,False,2026-09-18 21:57:10
95372767,GRB041220,data\zooniverse\images\95372767.png,data\zooniverse\images\95372767.png,pulse,0,pulse,0,unclear,0.4182,False,2026-09-18 21:57:11
95372768,GRB041223,data\zooniverse\images\95372768.png,data\zooniverse\images\95372768.png,pulse,0,pulse,0,unclear,0.4009,False,2026-09-18 22:23:23
95372769,GRB041224,data\zooniverse\images\95372769.png,data\zooniverse\images\95372769.png,pulse,0,pulse,0,noise,0.4142,False,2026-09-18 22:23:24
95372770,GRB041226,data\zooniverse\images\95372770.png,data\zooniverse\images\95372770.png,pulse,0,pulse,0,unclear,0.4273,False,2026-09-18 22:23:25
95372771,GRB041228,data\zooniverse\images\95372771.png,data\zooniverse\images\95372771.png,pulse,0,pulse,0,unclear,0.371,False,2026-09-18 22:23:26
95372774,GRB050117,data\zooniverse\images\95372774.png,data\zooniverse\images\95372774.png,pulse,0,pulse,0,noise,0.3597,False,2026-09-18 22:23:27
95372775,GRB050124,data\zooniverse\images\95372775.png,data\zooniverse\images\95372775.png,pulse,0,pulse,0,unclear,0.3758,False,2026-09-18 22:23:28
95372777,GRB050126,data\zooniverse\images\95372777.png,data\zooniverse\images\95372777.png,pulse,0,pulse,0,unclear,0.4368,False,2026-09-18 22:23:29
95372780,GRB050128,data\zooniverse\images\95372780.png,data\zooniverse\images\95372780.png,pulse,0,pulse,0,unclear,0.4234,False,2026-09-18 22:23:30
95372781,GRB050202,data\zooniverse\images\95372781.png,data\zooniverse\images\95372781.png,noise,1,noise,1,unclear,0.4008,False,2026-09-18 22:23:32
95372782,GRB050215A,data\zooniverse\images\95372782.png,data\zooniverse\images\95372782.png,unclear,2,unclear,2,unclear,0.4344,True,2026-09-18 22:23:36
95372783,GRB050215B,data\zooniverse\images\95372783.png,data\zooniverse\images\95372783.png,pulse,0,pulse,0,unclear,0.439,False,2026-09-18 22:23:37
95372784,GRB050219A,data\zooniverse\images\95372784.png,data\zooniverse\images\95372784.png,pulse,0,pulse,0,unclear,0.4249,False,2026-09-18 22:23:38
95372785,GRB050219B,data\zooniverse\images\95372785.png,data\zooniverse\images\95372785.png,pulse,0,pulse,0,unclear,0.3917,False,2026-09-18 22:23:38
95372786,GRB050223,data\zooniverse\images\95372786.png,data\zooniverse\images\95372786.png,pulse,0,pulse,0,unclear,0.4164,False,2026-09-18 22:23:39
95372789,GRB050306,data\zooniverse\images\95372789.png,data\zooniverse\images\95372789.png,pulse,0,pulse,0,unclear,0.3757,False,2026-09-18 22:23:39
95372791,GRB050315,data\zooniverse\images\95372791.png,data\zooniverse\images\95372791.png,pulse,0,pulse,0,unclear,0.3902,False,2026-09-18 22:23:40
95372793,GRB050318,data\zooniverse\images\95372793.png,data\zooniverse\images\95372793.png,pulse,0,pulse,0,unclear,0.462,False,2026-09-18 22:23:41
95372795,GRB050319,data\zooniverse\images\95372795.png,data\zooniverse\images\95372795.png,unclear,2,unclear,2,unclear,0.3629,True,2026-09-18 22:23:42
95372796,GRB050326,data\zooniverse\images\95372796.png,data\zooniverse\images\95372796.png,pulse,0,pulse,0,unclear,0.4189,False,2026-09-18 22:23:44
95372797,GRB050401,data\zooniverse\images\95372797.png,data\zooniverse\images\95372797.png,pulse,0,pulse,0,unclear,0.4499,False,2026-09-18 22:23:44
95372798,GRB050406,data\zooniverse\images\95372798.png,data\zooniverse\images\95372798.png,pulse,0,pulse,0,unclear,0.4084,False,2026-09-18 22:23:45
95372799,GRB050410,data\zooniverse\images\95372799.png,data\zooniverse\images\95372799.png,pulse,0,pulse,0,unclear,0.436,False,2026-09-18 22:23:46
95372801,GRB050412,data\zooniverse\images\95372801.png,data\zooniverse\images\95372801.png,pulse,0,pulse,0,unclear,0.3826,False,2026-09-18 22:23:46
95372803,GRB050416A,data\zooniverse\images\95372803.png,data\zooniverse\images\95372803.png,pulse,0,pulse,0,unclear,0.4395,False,2026-09-18 22:23:47
95372805,GRB050416B,data\zooniverse\images\95372805.png,data\zooniverse\images\95372805.png,pulse,0,pulse,0,unclear,0.4082,False,2026-09-18 22:23:48
95372807,GRB050418,data\zooniverse\images\95372807.png,data\zooniverse\images\95372807.png,pulse,0,pulse,0,unclear,0.3729,False,2026-09-18 22:23:52
95372808,GRB050421,data\zooniverse\images\95372808.png,data\zooniverse\images\95372808.png,unclear,2,unclear,2,unclear,0.4912,True,2026-09-18 22:23:55
95372809,GRB050422,data\zooniverse\images\95372809.png,data\zooniverse\images\95372809.png,pulse,0,pulse,0,unclear,0.4082,False,2026-09-18 22:23:58
95372810,GRB050502B,data\zooniverse\images\95372810.png,data\zooniverse\images\95372810.png,pulse,0,pulse,0,unclear,0.4419,False,2026-09-18 22:23:58
95372811,GRB050505,data\zooniverse\images\95372811.png,data\zooniverse\images\95372811.png,pulse,0,pulse,0,unclear,0.4121,False,2026-09-18 22:24:02
95372813,GRB050507,data\zooniverse\images\95372813.png,data\zooniverse\images\95372813.png,pulse,0,pulse,0,unclear,0.4519,False,2026-09-18 22:24:03
95372815,GRB050509A,data\zooniverse\images\95372815.png,data\zooniverse\images\95372815.png,pulse,0,pulse,0,unclear,0.4237,False,2026-09-18 22:24:04
95372816,GRB050509B,data\zooniverse\images\95372816.png,data\zooniverse\images\95372816.png,unclear,2,unclear,2,unclear,0.4001,True,2026-09-18 22:24:11
95372819,GRB050525A,data\zooniverse\images\95372819.png,data\zooniverse\images\95372819.png,pulse,0,pulse,0,unclear,0.4825,False,2026-09-18 22:24:15
95372821,GRB050528,data\zooniverse\images\95372821.png,data\zooniverse\images\95372821.png,pulse,0,pulse,0,unclear,0.4076,False,2026-09-18 22:24:17
95372822,GRB050603,data\zooniverse\images\95372822.png,data\zooniverse\images\95372822.png,pulse,0,pulse,0,unclear,0.4126,False,2026-09-18 22:24:17
95372823,GRB050607,data\zooniverse\images\95372823.png,data\zooniverse\images\95372823.png,pulse,0,pulse,0,unclear,0.4057,False,2026-09-18 22:24:18
95372824,GRB050701,data\zooniverse\images\95372824.png,data\zooniverse\images\95372824.png,pulse,0,pulse,0,unclear,0.4057,False,2026-09-18 22:24:19
95372825,GRB050712,data\zooniverse\images\95372825.png,data\zooniverse\images\95372825.png,pulse,0,pulse,0,unclear,0.4398,False,2026-09-18 22:24:21
95372826,GRB050713A,data\zooniverse\images\95372826.png,data\zooniverse\images\95372826.png,pulse,0,pulse,0,noise,0.3693,False,2026-09-18 22:24:21
95372828,GRB050713B,data\zooniverse\images\95372828.png,data\zooniverse\images\95372828.png,pulse,0,pulse,0,unclear,0.4083,False,2026-09-18 22:24:23
95372829,GRB050714B,data\zooniverse\images\95372829.png,data\zooniverse\images\95372829.png,unclear,2,unclear,2,unclear,0.4687,True,2026-09-18 22:24:25
95372832,GRB050715,data\zooniverse\images\95372832.png,data\zooniverse\images\95372832.png,pulse,0,pulse,0,unclear,0.3503,False,2026-09-18 22:24:29
95372834,GRB050716,data\zooniverse\images\95372834.png,data\zooniverse\images\95372834.png,pulse,0,pulse,0,unclear,0.3803,False,2026-09-18 22:24:30
95372836,GRB050717,data\zooniverse\images\95372836.png,data\zooniverse\images\95372836.png,pulse,0,pulse,0,unclear,0.3554,False,2026-09-18 22:24:31
95372837,GRB050721,data\zooniverse\images\95372837.png,data\zooniverse\images\95372837.png,pulse,0,pulse,0,unclear,0.366,False,2026-09-18 22:24:31
95372838,GRB050724,data\zooniverse\images\95372838.png,data\zooniverse\images\95372838.png,pulse,0,pulse,0,noise,0.3451,False,2026-09-18 22:24:32
95372839,GRB050726,data\zooniverse\images\95372839.png,data\zooniverse\images\95372839.png,pulse,0,pulse,0,unclear,0.4183,False,2026-09-18 22:24:33
95372841,GRB050730,data\zooniverse\images\95372841.png,data\zooniverse\images\95372841.png,pulse,0,pulse,0,unclear,0.3862,False,2026-09-18 22:24:34
95372842,GRB050801,data\zooniverse\images\95372842.png,data\zooniverse\images\95372842.png,pulse,0,pulse,0,unclear,0.4486,False,2026-09-18 22:24:34
95372843,GRB050802,data\zooniverse\images\95372843.png,data\zooniverse\images\95372843.png,pulse,0,pulse,0,unclear,0.4167,False,2026-09-18 22:24:35
95372846,GRB050803,data\zooniverse\images\95372846.png,data\zooniverse\images\95372846.png,pulse,0,pulse,0,unclear,0.3944,False,2026-09-18 22:24:35
95372847,GRB050813,data\zooniverse\images\95372847.png,data\zooniverse\images\95372847.png,pulse,0,pulse,0,unclear,0.4255,False,2026-09-18 22:24:36
95372849,GRB050814,data\zooniverse\images\95372849.png,data\zooniverse\images\95372849.png,pulse,0,pulse,0,unclear,0.4296,False,2026-09-18 22:24:37
95372850,GRB050815,data\zooniverse\images\95372850.png,data\zooniverse\images\95372850.png,pulse,0,pulse,0,unclear,0.445,False,2026-09-18 22:24:38
95372851,GRB050819,data\zooniverse\images\95372851.png,data\zooniverse\images\95372851.png,pulse,0,pulse,0,unclear,0.4867,False,2026-09-18 22:24:38
95372852,GRB050820A,data\zooniverse\images\95372852.png,data\zooniverse\images\95372852.png,pulse,0,pulse,0,unclear,0.3603,False,2026-09-18 22:24:40
95372855,GRB050820B,data\zooniverse\images\95372855.png,data\zooniverse\images\95372855.png,pulse,0,pulse,0,unclear,0.5102,False,2026-09-18 22:24:42
95372856,GRB050822,data\zooniverse\images\95372856.png,data\zooniverse\images\95372856.png,pulse,0,pulse,0,unclear,0.407,False,2026-09-18 22:24:42
95372857,GRB050824,data\zooniverse\images\95372857.png,data\zooniverse\images\95372857.png,pulse,0,pulse,0,unclear,0.4208,False,2026-09-18 22:24:43
95372859,GRB050826,data\zooniverse\images\95372859.png,data\zooniverse\images\95372859.png,pulse,0,pulse,0,unclear,0.5039,False,2026-09-18 22:24:44
95372861,GRB050827,data\zooniverse\images\95372861.png,data\zooniverse\images\95372861.png,pulse,0,pulse,0,unclear,0.4029,False,2026-09-18 22:24:44
95372863,GRB050904,data\zooniverse\images\95372863.png,data\zooniverse\images\95372863.png,pulse,0,pulse,0,unclear,0.3919,False,2026-09-18 22:24:45
95372864,GRB050908,data\zooniverse\images\95372864.png,data\zooniverse\images\95372864.png,pulse,0,pulse,0,unclear,0.4388,False,2026-09-18 22:24:46
95372865,GRB050911,data\zooniverse\images\95372865.png,data\zooniverse\images\95372865.png,pulse,0,pulse,0,unclear,0.4417,False,2026-09-18 22:24:47
